,name,ImageEncoder,Modalities,Augmentation,fold_0 C-index,fold_1 C-index,fold_2 C-index,fold_3 C-index,fold_4 C-index,Mean C-index,StDev C-index
0,high_lr_MedicalNet_t2_and_clinical,MedicalNet,clinical+t2,TRUE,0.9167,0.7978,0.8701,0.8462,0.8644,0.8590,0.0430
1,MedicalNet_t2_and_hbv_and_clinical,MedicalNet,clinical+t2+hbv,TRUE,0.9048,0.7416,0.7273,0.8590,0.8644,0.8194,0.0797
2,low_lr_MedicalNet_t2_and_clinical,MedicalNet,clinical+t2,TRUE,0.8929,0.5393,0.7013,0.7564,0.9153,0.7610,0.1532
3,MedicalNet_mpMRI_only,MedicalNet,t2+hbv+adc,TRUE,0.5119,0.5955,0.7273,0.4487,0.7627,0.6092,0.1350
4,MedicalNet_adc_and_clinical,MedicalNet,clinical+adc,TRUE,0.8929,0.7865,0.8571,0.7821,0.8305,0.8298,0.0471
5,no_aug_M3D-CLIP_t2_and_clinical,M3D-CLIP,clinical+t2,FALSE,0.9167,0.6854,0.8442,0.7564,0.5932,0.7592,0.1275
6,no_aug_MedicalNet_t2_and_clinical,MedicalNet,clinical+t2,FALSE,0.8929,0.7978,0.8831,0.8205,0.7627,0.8314,0.0557
7,M3D-CLIP_t2_and_clinical,M3D-CLIP,clinical+t2,TRUE,0.9286,0.6629,0.7792,0.6795,0.8644,0.7829,0.1151
8,M3D-CLIP_hbv_and_clinical,M3D-CLIP,clinical+hbv,TRUE,0.7738,0.7978,0.6234,0.8462,0.6610,0.7404,0.0943
9,MedicalNet_all_modalities,MedicalNet,clinical+t2,TRUE,0.8929,0.7753,0.9221,0.8333,0.5593,0.7966,0.1441
10,MedicalNet_t2_and_clinical,MedicalNet,clinical+t2+hbv+adc,TRUE,0.8929,0.7978,0.9610,0.8718,0.8305,0.8708,0.0624
11,MedicalNet_hbv_and_clinical,MedicalNet,clinical+hbv,TRUE,0.8929,0.8539,0.8831,0.8205,0.6610,0.8223,0.0945
12,clinical_only,M3D-CLIP,clinical,TRUE,0.8333,0.7416,0.8442,0.7756,0.8898,0.8169,0.0585